"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Ontario","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499522","4.1.4","1205.7","","","","1"
"2005","Ontario","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499523","4.2.1","12331.4","","","","1"
"2005","Ontario","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499524","4.2.2","4.2","","r","","1"
"2005","Ontario","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499525","4.2.3","2177597.0","","","","1"
"2005","Ontario","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499526","4.2.4","740.5","","r","","1"
"2005","Ontario","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499527","4.3.1","8986.6","","","","1"
"2005","Ontario","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499528","4.3.2","3.1","","","","1"
"2005","Ontario","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499529","4.3.3","1367772.8","","","","1"
"2005","Ontario","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499530","4.3.4","465.1","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499531","5.1.1","2948.4","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499532","5.1.2","7.0","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499533","5.1.3","419092.1","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499534","5.1.4","1002.1","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499535","5.2.1","1538.1","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499536","5.2.2","3.7","","r","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499537","5.2.3","261484.9","","","","1"
"2005","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499538","5.2.4","625.2","","r","","1"
