"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Quebec","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499513","3.2.3","1589177.3","","","","1"
"2009","Quebec","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499514","3.2.4","742.5","","","","1"
"2009","Quebec","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499515","3.3.1","6477.5","","","","1"
"2009","Quebec","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499516","3.3.2","3.0","","","","1"
"2009","Quebec","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499517","3.3.3","973434.2","","","","1"
"2009","Quebec","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499518","3.3.4","454.8","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499519","4.1.1","39564.1","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499520","4.1.2","9.6","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499521","4.1.3","5513038.5","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499522","4.1.4","1334.3","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499523","4.2.1","23036.0","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499524","4.2.2","5.6","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499525","4.2.3","3262462.8","","","","1"
"2009","Ontario","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499526","4.2.4","789.6","","","","1"
"2009","Ontario","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499527","4.3.1","16528.1","","","","1"
"2009","Ontario","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499528","4.3.2","4.0","","","","1"
"2009","Ontario","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499529","4.3.3","2250575.7","","","","1"
"2009","Ontario","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499530","4.3.4","544.7","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499531","5.1.1","6298.8","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499532","5.1.2","9.7","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499533","5.1.3","1104421.1","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499534","5.1.4","1707.2","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499535","5.2.1","3495.2","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499536","5.2.2","5.4","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499537","5.2.3","646830.9","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499538","5.2.4","999.9","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499539","5.3.1","2803.6","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499540","5.3.2","4.3","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499541","5.3.3","457590.2","","","","1"
"2009","Manitoba and Saskatchewan","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499542","5.3.4","707.3","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499543","6.1.1","13247.2","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499544","6.1.2","10.3","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499545","6.1.3","2159338.2","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499546","6.1.4","1686.9","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499547","6.2.1","7220.0","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499548","6.2.2","5.6","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499549","6.2.3","1418670.5","","","","1"
"2009","Alberta","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499550","6.2.4","1108.3","","","","1"
"2009","Alberta","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499551","6.3.1","6027.2","","","","1"
"2009","Alberta","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499552","6.3.2","4.7","","","","1"
"2009","Alberta","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499553","6.3.3","740667.7","","","","1"
"2009","Alberta","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499554","6.3.4","578.6","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499555","7.1.1","16422.7","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499556","7.1.2","9.6","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499557","7.1.3","2779514.9","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499558","7.1.4","1621.4","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499559","7.2.1","8904.0","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499560","7.2.2","5.2","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499561","7.2.3","1618397.8","","","","1"
"2009","British Columbia","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499562","7.2.4","944.0","","","","1"
"2009","British Columbia","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499563","7.3.1","7518.7","","","","1"
"2009","British Columbia","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499564","7.3.2","4.4","","","","1"
"2009","British Columbia","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499565","7.3.3","1161117.1","","","","1"
"2009","British Columbia","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499566","7.3.4","677.3","","","","1"
